,Country,Season,LeagueName,TeamURL,Name,Nationality,Position,Height,Weight,DOB,team
9424,eng,2017-2018,faprem,https://www.footballsquads.co.uk/eng/2017-2018/faprem/everton.htm,Gareth Barry,ENG,M,1.83,78,23-02-81,everton
10227,eng,2017-2018,faprem,https://www.footballsquads.co.uk/eng/2017-2018/faprem/wba.htm,Gareth Barry,ENG,M,1.83,78,23-02-81,wba
10722,eng,2016-2017,faprem,https://www.footballsquads.co.uk/eng/2016-2017/faprem/everton.htm,Gareth Barry,ENG,M,1.83,78,23-02-81,everton
12045,eng,2015-2016,faprem,https://www.footballsquads.co.uk/eng/2015-2016/faprem/everton.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,everton
13159,eng,2014-2015,faprem,https://www.footballsquads.co.uk/eng/2014-2015/faprem/everton.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,everton
14254,eng,2013-2014,faprem,https://www.footballsquads.co.uk/eng/2013-2014/faprem/everton.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,everton
14523,eng,2013-2014,faprem,https://www.footballsquads.co.uk/eng/2013-2014/faprem/mancity.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,mancity
15409,eng,2012-2013,faprem,https://www.footballsquads.co.uk/eng/2012-2013/faprem/mancity.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,mancity
16541,eng,2011-2012,faprem,https://www.footballsquads.co.uk/eng/2011-2012/faprem/mancity.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,mancity
17656,eng,2010-2011,faprem,https://www.footballsquads.co.uk/eng/2010-2011/faprem/mancity.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,mancity
18741,eng,2009-2010,faprem,https://www.footballsquads.co.uk/eng/2009-2010/faprem/mancity.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,mancity
19268,eng,2008-2009,faprem,https://www.footballsquads.co.uk/eng/2008-2009/faprem/avilla.htm,Gareth Barry,ENG,M,1.83,79,23-02-81,avilla
20283,eng,2007-2008,faprem,https://www.footballsquads.co.uk/eng/2007-2008/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
21293,eng,2006-2007,faprem,https://www.footballsquads.co.uk/eng/2006-2007/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
22263,eng,2005-2006,faprem,https://www.footballsquads.co.uk/eng/2005-2006/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
23250,eng,2004-2005,faprem,https://www.footballsquads.co.uk/eng/2004-2005/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
24191,eng,2003-2004,faprem,https://www.footballsquads.co.uk/eng/2003-2004/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
25161,eng,2002-2003,faprem,https://www.footballsquads.co.uk/eng/2002-2003/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
26115,eng,2001-2002,faprem,https://www.footballsquads.co.uk/eng/2001-2002/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
27060,eng,2000-2001,faprem,https://www.footballsquads.co.uk/eng/2000-2001/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
28001,eng,1999-2000,faprem,https://www.footballsquads.co.uk/eng/1999-2000/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
28919,eng,1998-1999,faprem,https://www.footballsquads.co.uk/eng/1998-1999/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
29845,eng,1997-1998,faprem,https://www.footballsquads.co.uk/eng/1997-1998/faprem/avilla.htm,Gareth Barry,D,"5'11""",12 06,23-02-81,Hastings,avilla
41100,eng,2019-2020,flcham,https://www.footballsquads.co.uk/eng/2019-2020/flcham/wba.htm,Gareth Barry,ENG,M,1.83,78,23-02-81,wba
42416,eng,2018-2019,flcham,https://www.footballsquads.co.uk/eng/2018-2019/flcham/wba.htm,Gareth Barry,ENG,M,1.83,78,23-02-81,wba
